"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 13:06:43.119,1 Oct 2023 13:14:20.531,457.413
1 Oct 2023 13:06:47.115,1 Oct 2023 13:11:57.367,310.252
1 Oct 2023 13:06:55.159,1 Oct 2023 13:12:10.040,314.882
1 Oct 2023 13:07:23.832,1 Oct 2023 13:15:18.616,474.784
1 Oct 2023 13:07:25.636,1 Oct 2023 13:14:54.160,448.524
1 Oct 2023 13:07:50.694,1 Oct 2023 13:14:57.912,427.217
1 Oct 2023 13:07:59.915,1 Oct 2023 13:14:51.609,411.694
1 Oct 2023 13:08:13.880,1 Oct 2023 13:14:42.605,388.725
1 Oct 2023 13:08:16.817,1 Oct 2023 13:14:38.640,381.823
1 Oct 2023 13:08:22.085,1 Oct 2023 13:14:47.324,385.239
1 Oct 2023 13:08:24.844,1 Oct 2023 13:14:44.351,379.507
1 Oct 2023 13:08:25.848,1 Oct 2023 13:14:44.615,378.766
1 Oct 2023 13:08:28.838,1 Oct 2023 13:14:45.958,377.120
1 Oct 2023 13:08:37.145,1 Oct 2023 13:14:15.770,338.625
1 Oct 2023 13:09:21.649,1 Oct 2023 13:17:31.851,490.201
1 Oct 2023 13:10:13.676,1 Oct 2023 13:18:23.930,490.254
1 Oct 2023 13:12:05.259,1 Oct 2023 13:20:06.824,481.565
1 Oct 2023 13:13:01.773,1 Oct 2023 13:17:07.826,246.053
1 Oct 2023 13:15:48.319,1 Oct 2023 13:24:00.653,492.334
1 Oct 2023 13:16:19.706,1 Oct 2023 13:21:03.330,283.625
1 Oct 2023 13:16:23.147,1 Oct 2023 13:18:27.316,124.169
1 Oct 2023 13:16:36.745,1 Oct 2023 13:24:35.882,479.138
1 Oct 2023 13:16:54.337,1 Oct 2023 13:25:12.294,497.957
1 Oct 2023 13:18:21.942,1 Oct 2023 13:25:22.366,420.424
1 Oct 2023 13:18:47.562,1 Oct 2023 13:23:52.482,304.920
1 Oct 2023 13:18:48.816,1 Oct 2023 13:27:11.299,502.484
1 Oct 2023 13:21:14.942,1 Oct 2023 13:27:50.184,395.243
1 Oct 2023 13:21:50.663,1 Oct 2023 13:28:23.035,392.372
1 Oct 2023 13:22:15.792,1 Oct 2023 13:30:23.724,487.931
1 Oct 2023 13:22:22.489,1 Oct 2023 13:27:26.128,303.639
1 Oct 2023 13:25:07.839,1 Oct 2023 13:33:07.030,479.191
1 Oct 2023 13:26:13.161,1 Oct 2023 13:34:07.273,474.111
1 Oct 2023 13:26:46.550,1 Oct 2023 13:34:01.457,434.908
1 Oct 2023 13:27:57.015,1 Oct 2023 13:32:51.840,294.825
1 Oct 2023 13:28:17.155,1 Oct 2023 13:36:28.956,491.801
1 Oct 2023 13:28:17.155,1 Oct 2023 13:36:28.956,491.801
1 Oct 2023 13:28:38.098,1 Oct 2023 13:36:53.485,495.387
1 Oct 2023 13:29:26.514,1 Oct 2023 13:36:28.916,422.403
1 Oct 2023 13:30:03.763,1 Oct 2023 13:32:22.463,138.700
1 Oct 2023 13:30:26.742,1 Oct 2023 13:36:19.523,352.781
1 Oct 2023 13:31:05.860,1 Oct 2023 13:34:40.395,214.535
1 Oct 2023 13:31:54.982,1 Oct 2023 13:38:40.668,405.687
1 Oct 2023 13:32:04.963,1 Oct 2023 13:39:08.493,423.530
1 Oct 2023 13:32:07.532,1 Oct 2023 13:39:08.673,421.141
1 Oct 2023 13:32:08.435,1 Oct 2023 13:39:08.898,420.463
1 Oct 2023 13:32:11.609,1 Oct 2023 13:39:12.872,421.263
1 Oct 2023 13:32:15.208,1 Oct 2023 13:39:07.366,412.157
1 Oct 2023 13:32:18.768,1 Oct 2023 13:39:12.470,413.701
1 Oct 2023 13:32:27.693,1 Oct 2023 13:40:13.439,465.747
1 Oct 2023 13:32:35.547,1 Oct 2023 13:39:29.377,413.830
1 Oct 2023 13:32:48.383,1 Oct 2023 13:39:43.003,414.620
1 Oct 2023 13:33:19.847,1 Oct 2023 13:39:59.857,400.011
1 Oct 2023 13:33:52.419,1 Oct 2023 13:41:26.047,453.628
1 Oct 2023 13:34:47.327,1 Oct 2023 13:43:05.389,498.062
1 Oct 2023 13:36:38.643,1 Oct 2023 13:43:16.248,397.605
1 Oct 2023 13:36:56.810,1 Oct 2023 13:42:27.683,330.873
1 Oct 2023 13:37:35.728,1 Oct 2023 13:42:50.377,314.648
1 Oct 2023 13:39:49.123,1 Oct 2023 13:45:56.881,367.758
1 Oct 2023 13:42:09.228,1 Oct 2023 13:50:25.901,496.673
1 Oct 2023 13:43:49.458,1 Oct 2023 13:52:02.383,492.924
1 Oct 2023 13:45:56.135,1 Oct 2023 13:51:59.745,363.610
1 Oct 2023 13:46:17.752,1 Oct 2023 13:51:19.360,301.608
1 Oct 2023 13:47:45.760,1 Oct 2023 13:48:09.189,23.429
1 Oct 2023 13:48:47.868,1 Oct 2023 13:56:34.940,467.072
1 Oct 2023 13:49:36.503,1 Oct 2023 13:54:14.076,277.573
1 Oct 2023 13:50:27.227,1 Oct 2023 13:57:58.802,451.575
1 Oct 2023 13:50:50.626,1 Oct 2023 13:58:29.274,458.648
1 Oct 2023 13:51:25.924,1 Oct 2023 13:59:19.376,473.452
1 Oct 2023 13:51:25.924,1 Oct 2023 13:59:19.376,473.452
1 Oct 2023 13:51:48.320,1 Oct 2023 13:59:47.813,479.493
1 Oct 2023 13:51:51.061,1 Oct 2023 13:59:56.416,485.356
1 Oct 2023 13:51:51.196,1 Oct 2023 13:58:47.971,416.775
1 Oct 2023 13:51:56.384,1 Oct 2023 14:00:03.707,487.323
1 Oct 2023 13:52:53.439,1 Oct 2023 14:00:07.437,433.997
1 Oct 2023 13:53:34.681,1 Oct 2023 14:01:41.656,486.974
1 Oct 2023 13:53:45.848,1 Oct 2023 14:01:56.957,491.109
1 Oct 2023 13:53:46.355,1 Oct 2023 14:01:57.978,491.623
1 Oct 2023 13:53:48.172,1 Oct 2023 14:01:57.834,489.662
1 Oct 2023 13:53:48.564,1 Oct 2023 14:01:58.927,490.363
1 Oct 2023 13:53:48.841,1 Oct 2023 14:01:52.128,483.287
1 Oct 2023 13:53:51.155,1 Oct 2023 14:02:08.310,497.154
1 Oct 2023 13:53:54.992,1 Oct 2023 14:02:05.023,490.031
1 Oct 2023 13:53:55.007,1 Oct 2023 14:02:04.402,489.395
1 Oct 2023 13:53:55.653,1 Oct 2023 14:02:04.959,489.306
1 Oct 2023 13:53:57.836,1 Oct 2023 14:02:06.939,489.103
1 Oct 2023 13:54:19.759,1 Oct 2023 14:00:36.167,376.408
1 Oct 2023 13:54:19.853,1 Oct 2023 14:00:07.316,347.462
1 Oct 2023 13:54:44.028,1 Oct 2023 13:57:01.153,137.124
1 Oct 2023 13:55:30.879,1 Oct 2023 13:58:45.682,194.803
1 Oct 2023 13:56:38.099,1 Oct 2023 14:03:10.973,392.874
1 Oct 2023 13:57:20.163,1 Oct 2023 14:00:09.211,169.048
1 Oct 2023 13:57:25.488,1 Oct 2023 14:04:09.344,403.856
1 Oct 2023 13:57:47.863,1 Oct 2023 14:03:28.211,340.348
1 Oct 2023 13:58:45.328,1 Oct 2023 14:06:09.263,443.935
1 Oct 2023 14:00:33.923,1 Oct 2023 14:06:44.272,370.349
1 Oct 2023 14:02:34.066,1 Oct 2023 14:10:45.393,491.327
1 Oct 2023 14:03:45.608,1 Oct 2023 14:05:34.789,109.181
1 Oct 2023 14:03:48.361,1 Oct 2023 14:11:39.841,471.480
1 Oct 2023 14:04:23.102,1 Oct 2023 14:09:37.088,313.986
1 Oct 2023 14:05:24.642,1 Oct 2023 14:13:43.690,499.047
1 Oct 2023 14:06:25.793,1 Oct 2023 14:11:18.410,292.618
1 Oct 2023 14:08:17.054,1 Oct 2023 14:15:49.756,452.703
1 Oct 2023 14:09:01.825,1 Oct 2023 14:14:11.862,310.037
1 Oct 2023 14:09:14.536,1 Oct 2023 14:16:25.267,430.731
1 Oct 2023 14:11:45.654,1 Oct 2023 14:19:30.291,464.637
1 Oct 2023 14:12:49.280,1 Oct 2023 14:20:42.901,473.622
1 Oct 2023 14:12:51.573,1 Oct 2023 14:20:59.855,488.282
1 Oct 2023 14:14:12.506,1 Oct 2023 14:18:57.090,284.584
1 Oct 2023 14:15:15.423,1 Oct 2023 14:22:40.823,445.400
1 Oct 2023 14:15:15.423,1 Oct 2023 14:22:40.823,445.400
1 Oct 2023 14:15:20.395,1 Oct 2023 14:23:12.886,472.491
1 Oct 2023 14:15:34.077,1 Oct 2023 14:22:48.358,434.281
1 Oct 2023 14:16:00.880,1 Oct 2023 14:22:08.159,367.279
1 Oct 2023 14:16:07.582,1 Oct 2023 14:24:06.134,478.552
1 Oct 2023 14:17:14.598,1 Oct 2023 14:22:51.069,336.471
1 Oct 2023 14:17:50.034,1 Oct 2023 14:26:00.898,490.863
1 Oct 2023 14:18:06.858,1 Oct 2023 14:26:18.852,491.994
1 Oct 2023 14:18:08.392,1 Oct 2023 14:26:20.309,491.917
1 Oct 2023 14:18:08.995,1 Oct 2023 14:26:20.888,491.894
1 Oct 2023 14:18:12.283,1 Oct 2023 14:26:23.710,491.428
1 Oct 2023 14:18:12.440,1 Oct 2023 14:26:24.334,491.894
1 Oct 2023 14:18:16.382,1 Oct 2023 14:26:27.898,491.516
